#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-29 17:53:51.944
#Sample rate: 1.14943e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 10 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.003190053868581375,-0.007666386470496065,-0.9302839904269666
-0.003189183868581375,-0.007330623274982541,-0.9339634007594494
-0.003188313868581375,-0.009009439252560694,-0.937642811091937
-0.003187443868581375,-0.008337912861530135,-0.9450016317569108
-0.003186573868581375,-0.006994860079467185,-0.9523604524218862
-0.003185703868581375,-0.006994860079466574,-0.9523604524218895
-0.003184833868581375,-0.007330623274982235,-0.9633986834193475
-0.003183963868581375,-0.006323333688435405,-0.9523604524218945
-0.003183093868581375,-0.006659096883950608,-0.9450016317569174
-0.003182223868581375,-0.0063233336884351,-0.9523604524218862
-0.003181353868581375,-0.007666386470497591,-0.9450016317569174
-0.003180483868581375,-0.00665909688395076,-0.9450016317569141
-0.003179613868581375,-0.00565180729740332,-0.9450016317569141
-0.003178743868581375,-0.005987570492919134,-0.9523604524218895
-0.003177873868581375,-0.006994860079466574,-0.9486810420894017
-0.003177003868581375,-0.006994860079466574,-0.9450016317569141
-0.003176133868581375,-0.00665909688395076,-0.9597192730868649
-0.003175263868581375,-0.00665909688395076,-0.9597192730868649
-0.003174393868581375,-0.005316044101887506,-0.9486810420894017
-0.003173523868581375,-0.005987570492919134,-0.9413222214244265
-0.003172653868581374,-0.004644517710855879,-0.9523604524218895
-0.003171783868581374,-0.00665909688395076,-0.9376428110919387
-0.003170913868581375,-0.007330623274981777,-0.9413222214244231
-0.003170043868581375,-0.005651807297404846,-0.9413222214244265
-0.003169173868581375,-0.006659096883950302,-0.9450016317569124
-0.003168303868581375,-0.007666386470497744,-0.9339634007594561
-0.003167433868581375,-0.005651807297404236,-0.9523604524218812
-0.003166563868581375,-0.006994860079465964,-0.9523604524218895
-0.003165693868581375,-0.006323333688435253,-0.9486810420894034
-0.003164823868581375,-0.003972991319825321,-0.9486810420894017
-0.003163953868581375,-0.005651807297402557,-0.9376428110919437
-0.003163083868581375,-0.004644517710856337,-0.9376428110919387
-0.003162213868581375,-0.005316044101887201,-0.9339634007594527
-0.003161343868581375,-0.00632333368843449,-0.937642811091937
-0.003160473868581375,-0.008673676057045642,-0.9376428110919387
-0.003159603868581375,-0.007666386470498202,-0.9376428110919387
-0.003158733868581375,-0.00665909688395076,-0.9302839904269633
-0.003157863868581375,-0.00665909688395076,-0.9376428110919387
-0.003156993868581375,-0.004980280906371692,-0.9486810420894017
-0.003156123868581375,-0.004980280906371692,-0.9339634007594511
-0.003155253868581375,-0.005316044101887506,-0.9413222214244265
-0.003154383868581375,-0.004644517710855879,-0.9413222214244265
-0.003153513868581375,-0.007330623274982388,-0.9413222214244265
-0.003152643868581374,-0.006994860079466574,-0.9450016317569141
-0.003151773868581374,-0.006994860079466574,-0.9376428110919387
-0.003150903868581375,-0.006659096883951066,-0.9266045800944857
-0.003150033868581375,-0.004644517710857712,-0.9376428110919287
-0.003149163868581375,-0.00498028090637154,-0.9192457594295086
-0.003148293868581375,-0.005316044101887353,-0.9376428110919304
-0.003147423868581375,-0.005651807297403167,-0.9302839904269666
-0.003146553868581375,-0.005987570492918981,-0.9302839904269633
-0.003145683868581375,-0.006659096883950455,-0.9266045800944773
-0.003144813868581375,-0.005316044101888117,-0.9266045800944757
-0.003143943868581375,-0.005316044101887506,-0.9302839904269616
-0.003143073868581375,-0.00665909688395015,-0.9302839904269633
-0.003142203868581375,-0.006994860079466422,-0.9192457594295053
-0.003141333868581375,-0.00565180729740393,-0.9339634007594444
-0.003140463868581375,-0.007666386470498202,-0.9302839904269633
-0.003139593868581375,-0.005316044101887506,-0.9229251697619879
-0.003138723868581375,-0.005987570492919134,-0.9266045800944757
-0.003137853868581375,-0.005987570492919134,-0.9266045800944757
-0.003136983868581375,-0.005987570492919134,-0.9192457594295003
-0.003136113868581375,-0.004980280906371692,-0.9229251697619879
-0.003135243868581375,-0.00565180729740332,-0.9266045800944757
-0.003134373868581375,-0.006994860079466574,-0.9118869387645249
-0.003133503868581375,-0.005316044101887506,-0.9192457594295003
-0.003132633868581374,-0.005316044101887506,-0.9192457594295003
-0.003131763868581374,-0.006323333688434947,-0.9192457594295003
-0.003130893868581374,-0.00498028090637154,-0.9155663490970142
-0.003130023868581375,-0.004644517710856185,-0.9192457594294969
-0.003129153868581375,-0.005316044101887201,-0.9118869387645282
-0.003128283868581375,-0.00665909688395015,-0.9045281180995528
-0.003127413868581375,-0.003972991319825474,-0.9082075284320356
-0.003126543868581375,-0.005316044101886895,-0.9082075284320372
-0.003125673868581375,-0.00632333368843449,-0.9266045800944673
-0.003124803868581375,-0.005651807297403625,-0.9192457594295036
-0.003123933868581375,-0.004308754515340676,-0.8934898871020982
-0.003123063868581375,-0.003972991319824404,-0.8898104767696003
-0.003122193868581375,-0.005316044101886895,-0.9008487077670568
-0.003121323868581375,-0.005316044101887506,-0.8934898871020898
-0.003120453868581375,-0.004980280906371845,-0.8861310664371144
-0.003119583868581375,-0.006323333688434947,-0.9008487077670618
-0.003118713868581375,-0.005987570492919134,-0.9008487077670618
-0.003117843868581375,-0.005316044101887506,-0.8971692974345741
-0.003116973868581375,-0.006323333688434947,-0.8898104767695987
-0.003116103868581375,-0.005316044101887506,-0.886131066437111
-0.003115233868581375,-0.006323333688434947,-0.8824516561046234
-0.003114363868581375,-0.004308754515340065,-0.8898104767695987
-0.003113493868581375,-0.004644517710855879,-0.8934898871020864
-0.003112623868581374,-0.003637228124308438,-0.8934898871020864
-0.003111753868581374,-0.004980280906371692,-0.886131066437111
-0.003110883868581374,-0.004644517710856185,-0.8677340147746776
-0.003110013868581375,-0.005316044101886895,-0.8787722457721256
-0.003109143868581375,-0.005316044101887506,-0.8750928354396497
-0.003108273868581375,-0.004644517710856185,-0.8677340147746759
-0.003107403868581375,-0.006659096883949845,-0.8787722457721306
-0.003106533868581375,-0.005316044101888117,-0.8787722457721356
-0.003105663868581375,-0.004644517710856185,-0.8677340147746776
-0.003104793868581375,-0.00498028090637154,-0.8714134251071586
-0.003103923868581375,-0.003301464928793388,-0.8750928354396463
-0.003103053868581375,-0.004980280906370929,-0.8677340147746759
-0.003102183868581375,-0.004980280906371692,-0.8640546044421865
-0.003101313868581375,-0.006659096883949997,-0.8603751941096989
-0.003100443868581375,-0.004644517710856795,-0.8566957837772112
-0.003099573868581375,-0.004644517710855879,-0.8530163734447218
-0.003098703868581375,-0.003972991319824252,-0.8456575527797464
-0.003097833868581375,-0.003637228124308438,-0.8566957837772096
-0.003096963868581375,-0.004308754515340065,-0.8456575527797464
-0.003096093868581375,-0.004980280906371692,-0.838298732114771
-0.003095223868581375,-0.003972991319824252,-0.8530163734447218
-0.003094353868581375,-0.004644517710855879,-0.838298732114771
-0.003093483868581375,-0.003972991319824252,-0.8493369631122342
-0.003092613868581374,-0.004644517710855879,-0.8530163734447218
-0.003091743868581374,-0.005316044101887506,-0.8419781424472588
-0.003090873868581374,-0.004980280906371692,-0.838298732114766
-0.003090003868581375,-0.004980280906371692,-0.827260501117318
-0.003089133868581375,-0.005316044101887353,-0.8419781424472521
-0.003088263868581375,-0.003972991319824862,-0.8309399114498006
-0.003087393868581375,-0.00330146492879293,-0.8235810907848237
-0.003086523868581375,-0.004644517710855269,-0.8272605011173063
-0.003085653868581375,-0.004308754515340218,-0.8199016804523359
-0.003084783868581375,-0.004308754515340065,-0.8088634494548745
-0.003083913868581375,-0.002965701733277422,-0.8088634494548695
-0.003083043868581375,-0.002965701733276811,-0.8162222701198416
-0.003082173868581375,-0.004644517710855116,-0.8125428597873589
-0.003081303868581375,-0.003972991319824557,-0.8088634494548712
-0.003080433868581375,-0.005316044101886895,-0.8088634494548695
-0.003079563868581375,-0.004980280906371692,-0.8088634494548695
-0.003078693868581375,-0.005316044101887506,-0.8051840391223818
-0.003077823868581375,-0.004308754515340065,-0.8051840391223818
-0.003076953868581375,-0.004308754515340065,-0.8015046287898941
-0.003076083868581375,-0.003972991319824252,-0.8015046287898941
-0.003075213868581375,-0.003301464928792624,-0.7978252184574064
-0.003074343868581375,-0.004980280906371692,-0.7978252184574064
-0.003073473868581375,-0.003637228124308438,-0.7904663977924311
-0.003072603868581374,-0.003972991319824252,-0.7904663977924311
-0.003071733868581374,-0.003637228124308438,-0.7978252184574064
-0.003070863868581374,-0.003972991319824557,-0.7720693461299926
-0.003069993868581375,-0.004644517710855269,-0.7720693461299926
-0.003069123868581375,-0.002629938537761913,-0.7794281667949646
-0.003068253868581375,-0.003301464928792319,-0.7683899357975099
-0.003067383868581375,-0.003301464928792624,-0.7720693461299909
-0.003066513868581375,-0.002965701733276963,-0.7720693461299926
-0.003065643868581375,-0.004308754515339455,-0.7647105254650206
-0.003064773868581375,-0.004644517710855727,-0.7610311151325312
-0.003063903868581375,-0.003972991319824557,-0.7683899357975016
-0.003063033868581375,-0.004308754515339913,-0.7610311151325329
