#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-29 18:05:57.445
#Sample rate: 1.14943e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 10 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.003316566368581375,-0.01102401842565634,0.125706774997004
-0.003315696368581375,-0.01102401842565634,0.1220273646645164
-0.003314826368581375,-0.01135978162117215,0.125706774997004
-0.003313956368581375,-0.01203130801220378,0.1183479543320287
-0.003313086368581375,-0.01404588718529866,0.1293861853294917
-0.003312216368581375,-0.01337436079426703,0.1330655956619794
-0.003311346368581375,-0.01203130801220439,0.1404244163269514
-0.003310476368581375,-0.01203130801220378,0.1293861853294917
-0.003309606368581375,-0.01135978162117215,0.1220273646645164
-0.003308736368581375,-0.01236707120771959,0.1220273646645164
-0.003307866368581375,-0.0100167288391089,0.1183479543320287
-0.003306996368581375,-0.01169554481668797,0.125706774997004
-0.003306126368581375,-0.01270283440323541,0.1293861853294917
-0.003305256368581375,-0.01371012398978285,0.1220273646645164
-0.003304386368581375,-0.01236707120771959,0.1293861853294917
-0.003303516368581375,-0.01203130801220378,0.1367450059944671
-0.003302646368581375,-0.01270283440323541,0.1330655956619794
-0.003301776368581375,-0.01270283440323495,0.1330655956619828
-0.003300906368581375,-0.01169554481668797,0.1404244163269548
-0.003300036368581375,-0.01203130801220378,0.1330655956619794
-0.003299166368581375,-0.01135978162117215,0.1293861853294917
-0.003298296368581375,-0.01068825523014053,0.125706774997004
-0.003297426368581375,-0.01135978162117215,0.1220273646645164
-0.003296556368581375,-0.01035249203462471,0.125706774997004
-0.003295686368581375,-0.01303859759875122,0.1220273646645164
-0.003294816368581375,-0.01303859759875122,0.1330655956619794
-0.003293946368581375,-0.01236707120771959,0.1330655956619794
