#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-29 18:17:48.640
#Sample rate: 1.14943e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 10 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.003316832201914708,-0.01169554481668797,0.1223412757716544
-0.003315962201914708,-0.01236707120771959,0.121336376549941
-0.003315092201914708,-0.01337436079426703,0.1220063093644166
-0.003314222201914708,-0.01270283440323541,0.12301120858613
-0.003313352201914708,-0.01169554481668797,0.1243510742150813
-0.003312482201914708,-0.01270283440323541,0.1236811414006057
-0.003311612201914708,-0.01270283440323541,0.123346174993368
-0.003310742201914708,-0.01203130801220378,0.1240161078078435
-0.003309872201914708,-0.01270283440323541,0.1240161078078435
-0.003309002201914708,-0.01236707120771959,0.12301120858613
-0.003308132201914708,-0.01203130801220378,0.1236811414006057
-0.003307262201914708,-0.01236707120771959,0.1206664437354653
-0.003306392201914708,-0.01270283440323541,0.1216713429571788
-0.003305522201914708,-0.01203130801220378,0.1226762421788922
-0.003304652201914708,-0.01203130801220378,0.1226762421788922
-0.003303782201914708,-0.01337436079426703,0.1233461749933679
-0.003302912201914708,-0.01337436079426703,0.1240161078078435
-0.003302042201914708,-0.01337436079426581,0.1256909398440324
-0.003301172201914708,-0.01068825523014053,0.1253559734367948
-0.003300302201914708,-0.01270283440323541,0.1236811414006057
-0.003299432201914708,-0.01270283440323541,0.1250210070295569
-0.003298562201914708,-0.01236707120771959,0.1246860406223191
-0.003297692201914708,-0.01236707120771959,0.1240161078078435
-0.003296822201914708,-0.01169554481668797,0.1243510742150813
-0.003295952201914708,-0.01236707120771959,0.1240161078078435
